0.6Amp,0.6MeV,0.3Amp,0.3MeV
3.94E+01,100.5,72,100.3669725
3.96E+01,100.5454545,72.1,100.3669725
3.97E+01,100.5454545,72.1,100.3669725
3.98E+01,100.5454545,72.2,100.3669725
3.99E+01,100.5454545,72.2,100.3669725
3.99E+01,100.5454545,72.3,100.3669725
3.99E+01,100.5454545,72.3,100.3669725
4.00E+01,100.5909091,72.3,100.3669725
4.00E+01,100.5909091,72.4,100.3669725
4.02E+01,100.5909091,72.4,100.3669725
4.02E+01,100.5909091,72.4,100.3669725
4.02E+01,100.5909091,72.4,100.4587156
4.02E+01,100.5909091,72.5,100.4587156
4.02E+01,100.5909091,72.5,100.4587156
4.03E+01,100.5909091,72.6,100.4587156
4.04E+01,100.5909091,72.7,100.4587156
4.04E+01,100.5909091,72.7,100.4587156
4.04E+01,100.5909091,72.9,100.4587156
4.04E+01,100.5909091,73,100.4587156
4.05E+01,100.5909091,73.1,100.4587156
4.05E+01,100.6363636,73.1,100.4587156
4.06E+01,100.6363636,73.2,100.5504587
4.09E+01,100.6363636,73.2,100.5504587
4.09E+01,100.6363636,73.3,100.5504587
4.10E+01,100.6363636,73.4,100.5504587
4.11E+01,100.6363636,73.4,100.5504587
4.12E+01,100.6818182,73.5,100.5504587
4.12E+01,100.6818182,73.6,100.5504587
4.13E+01,100.6818182,73.6,100.5504587
4.15E+01,100.6818182,73.7,100.5504587
4.16E+01,100.6818182,73.7,100.5504587
4.16E+01,100.6818182,73.8,100.5504587
4.16E+01,100.6818182,73.9,100.6422018
4.18E+01,100.6818182,73.9,100.6422018
4.19E+01,100.6818182,74,100.6422018
4.22E+01,100.6818182,74,100.6422018
4.24E+01,100.6818182,74,100.6422018
